City,All industry total (in thousands),  Private industries,"    Agriculture, forestry, fishing and hunting","    Mining, quarrying, and oil and gas extraction",    Utilities,    Construction,    Manufacturing,      Durable goods manufacturing,      Nondurable goods manufacturing,    Wholesale trade,    Retail trade,    Transportation and warehousing,    Information,"    Finance, insurance, real estate, rental, and leasing",      Finance and insurance,      Real estate and rental and leasing,    Professional and business services,"      Professional, scientific, and technical services",      Management of companies and enterprises,      Administrative and support and waste management and remediation services,"    Educational services, health care, and social assistance",      Educational services,      Health care and social assistance,"    Arts, entertainment, recreation, accommodation, and food services","      Arts, entertainment, and recreation",      Accommodation and food services,    Other services (except government and government enterprises),Government and government enterprises,Natural resources and mining,Trade,Transportation and utilities,Manufacturing and information,Private goods-producing industries 2/,Private services-providing industries 3/,Personal income (thousands of dollars),  Net earnings by place of residence,  Personal current transfer receipts,    Income maintenance benefits 1/,    Unemployment insurance compensation,    Retirement and other,"  Dividends, interest, and rent 2/",  Population (persons) 3/,  Per capita personal income 4/,  Per capita net earnings 4/,  Per capita personal current transfer receipts 4/,    Per capita income maintenance benefits 4/,    Per capita unemployment insurance compensation 4/,    Per capita retirement and other 4/,"  Per capita dividends, interest, and rent 4/",  Earnings by place of work,    Wages and salaries,    Supplements to wages and salaries,      Employer contributions for employee pension and insurance funds 5/,      Employer contributions for government social insurance,    Proprietors' income,      Farm proprietors' income,      Nonfarm proprietors' income,Total employment (number of jobs),  Wage and salary employment,  Proprietors employment,    Farm proprietors employment 6/,    Nonfarm proprietors employment,Average earnings per job (dollars),  Average wages and salaries,  Average nonfarm proprietors' income,Total MLB Teams,Total MLB Team Value (dollars thousands),Total team revenue (dollars thousands),Home Games MLB,Reg Season wins MLB,Home Wins MLB,World Series Title,Division Title MLB,Attendance MLB,Attendace per Game MLB,Payroll MLB (dollars),NFL Teams,NFL Team Value (Thousands,NFL Team Revenue,NFL Team Purchased,NFL Team relocated,NBA Team Numbers,NBA Team Value,NBA Team Revenue,Large Market,Medium Market,Small Market,No Teams,NFL Super Bowl Winner,NFL Division Champion,NFL Playoff Participants,NFL Win Percentage,NFL Wins,NFL Home Attendance,Average Attendance Per Game,Year
Minneapolis,234764164,212687683,558788,233367,(D),8618411,33242205,22723855,10518351,18463818,11998773,7343215,9837321,49912314,24641913,25270401,(D),(D),(D),6478206,20283065,2520905,17762160,8058806,2534640,5524166,4943521,22076480,792154,30462591,(D),43079526,42652771,170034913,199633190,134340260,25845423,2499918,423766,22921739,39447507,3504614,56963,38332,7375,713,121,6540,11256,153318349,114946202,23804910,15414832,8390078,14567237,210181,14357056,2424810,1972120,452690,10193,442497,63229,58286,32446,1,895000,223000,81,83,46,0,0,2220054,27408.07407,107755000,1,1590000,281000,0,0,1,720000,146000,0,1,0,0,0,1,1,0.6875,11,419440,52430,2015
Nashville,114142662,105005111,(D),211590,(D),4327603,12160699,7638291,4522408,8611489,7040809,3898235,(D),18243144,7628599,10614545,16007388,8949377,2583922,4474088,18601582,1800960,16800623,8202462,4283081,3919381,2604715,9137550,(D),15652297,(D),(D),(D),(D),93506651,68635958,12465272,1287561,74591,11103120,12405421,1804969,51805,38026,6906,713,41,6151,6873,77570119,48252628,9655408,6393706,3261702,19662083,11474,19650609,1222235,930401,291834,11898,279936,63466,51862,70197,0,0,0,0,0,0,0,0,0,0,0,1,1490000,318000,0,0,0,0,0,0,0,1,0,0,0,0,0.1875,3,498435,62304.375,2015
NYC,1577619568,1437538372,773267,374202,(D),(D),(D),22849601,(D),(D),70304220,(D),127636183,511598218,278980083,232618135,231952619,154243051,33619128,44090441,134405269,27510672,106894597,61421650,22867043,38554607,30793506,140081196,1147469,(D),(D),(D),(D),(D),1278191379,820677529,188650281,21089051,2921949,164639281,268863569,19329675,66126,42457,9760,1091,151,8517,13909,948954470,677683865,144854634,97687581,47167053,126415971,144074,126271897,12210471,9255111,2955360,4752,2950608,77716,73223,42795,2,4550000,771000,162,177,94,0,1,5763548,35577.45679,312926430,2,5400000,783000,0,0,2,1700000,220000,1,0,0,0,0,0,0,0.5,16,1257291,157161.375,2015
Providence,81123821,70481532,408468,50930,1304189,(D),(D),5828431,(D),(D),4788326,(D),2219613,18093830,5965753,12128077,9419809,4240008,2941242,2238559,10428031,2113215,8314816,3505021,821276,2683745,1754860,10642289,459398,(D),(D),(D),12072277,58409254,79813328,49833075,16675651,1732279,309623,14633749,13304602,1613051,49480,30894,10338,1074,192,9072,8248,51322500,36713505,8950343,6068295,2882048,5658652,11511,5647141,919761,731587,188174,1598,186576,55800,50183,30267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2015
San Fran,446344422,405683571,(D),323066,4532558,16195898,45420576,16473183,28947393,20823027,21397616,(D),39983877,98041558,33963854,64077705,90298451,66570814,11396859,12330777,29515430,4818540,24696890,18415359,5708215,12707144,7882615,40660851,(D),42220643,(D),85404453,(D),(D),384088933,255656260,36404016,2990394,526194,32887428,92028657,4649539,82608,54985,7830,643,113,7073,19793,278975546,199728415,39972099,27672063,12300036,39275032,200853,39074179,3183990,2410953,773037,1314,771723,87618,82842,50632,1,2000000,387000,81,84,47,0,0,3375882,41677.55556,180018166,1,2700000,427000,0,0,1,1900000,201000,1,0,0,0,0,0,0,0.3125,5,566092,70761.5,2015
Seattle,322362070,289355436,891846,119250,360105,11422807,52260848,47083806,5177042,20529818,23835782,9722498,45899512,51446685,12648436,38798249,36201625,23463618,4433007,8305000,19766450,1981497,17784953,11129104,2636392,8492712,5769105,33006634,1011096,44365600,10082604,98160360,64694751,224660685,237793064,155116896,26050521,2562609,555571,22932341,56625647,3738316,63610,41494,6969,685,149,6134,15147,179706706,132002719,27722841,16767421,10955420,19981146,208999,19772147,2454182,1993032,461150,4159,456991,73225,66232,43266,1,1100000,250000,81,76,36,0,0,2193581,27081.24691,130681400,1,1870000,334000,0,0,0,0,0,0,1,0,0,0,0,1,0.625,10,552162,69020.25,2015
Tampa Bay,138118159,123970000,342234,68825,2438272,5514389,10589424,5426952,5162471,9901364,10369883,3076371,5743844,32000900,10407989,21592911,19859324,11745774,3013244,5100306,14161113,1391799,12769314,6681867,1856134,4825733,3222191,14148159,411059,20271247,5514644,16333268,16514871,107455129,128886312,75802881,27447496,2448286,93590,24905620,25635935,2969251,43407,25529,9244,825,32,8388,8634,85039126,64241003,13744098,9274367,4469731,7054025,114098,6939927,1664444,1297719,366725,3551,363174,51092,49503,19109,1,625000,188000,84,80,42,0,0,64571233,768705.1548,15322,1,1510000,313000,0,0,0,0,0,0,1,0,0,0,0,0,0.375,6,492460,61557.5,2015
Tucson,38369793,30666879,71160,781906,270309,1226687,3844567,3596001,248566,1219785,2594997,863470,1101197,8173375,1600316,6573059,3777775,2165833,194193,1417748,4163580,321988,3841592,1673814,213963,1459851,904256,7702914,853066,3814782,1133779,4945764,5924320,24742559,39405343,21145905,9315522,773235,47373,8494914,8943916,1009737,39025,20942,9226,766,47,8413,8858,23804484,17176470,4279467,3025391,1254076,2348547,35100,2313447,500107,387663,112444,740,111704,47599,44308,20711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2015
Vegas,103803455,92733805,10112,43552,1772747,3928174,3244081,2280428,963653,4075578,7492750,5063590,3138776,21863672,4429052,17434621,10822023,4798488,2454590,3568945,6587731,529679,6058052,22806919,3467407,19339511,1884099,11069650,53663,11568329,6836337,6382857,7225919,85507887,89737220,54163800,14832429,1654151,283843,12894435,20740991,2098105,42771,25816,7069,788,135,6146,9886,61424091,44656286,10881798,7495180,3386618,5886007,-1043,5887050,1215757,948182,267575,199,267376,50523,47097,22018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2015
Virginia Beach,93392048,66265734,(D),(D),(D),(D),(D),5191580,(D),3128164,5932462,2655281,2007221,17092855,(D),(D),9680785,5615628,1483804,2581354,7375724,1072647,6303077,3241451,554372,2687079,(D),27126314,(D),9060627,(D),(D),13024185,53241549,81928559,50642195,13697919,1332725,92995,12272199,17588445,1756577,46641,28830,7798,759,53,6986,10013,57208749,41799784,11994824,8657166,3337658,3414141,-60999,3475140,1043412,868074,175338,1553,173785,54829,48152,19997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2015
Atlanta,361214621,330950927,(D),280563,(D),(D),29723002,13515528,16207474,33753758,18717674,19065314,39953257,72181516,32576666,39604850,52832486,31186684,7592293,14053510,(D),(D),21246080,11311360,2187860,9123499,6340451,30263694,(D),52471432,(D),69676259,45973621,284977306,278237306,193857216,36501187,4591589,213045,31696553,47878903,5790280,48052,33480,6304,793,37,5474,8269,217440925,159485169,32836018,22145456,10690562,25119738,193012,24926726,3652626,2724047,928579,6560,922019,59530,58547,27035,1,1175000,266000,81,68,31,0,0,2020914,24949.55556,74999750,1,2125000,336000,0,0,1,885000,169000,1,0,0,0,0,1,1,0.6875,11,559998,69999.75,2016
Austin,128470585,112819889,72514,784090,788014,7594463,15056364,13390207,1666156,13738898,7427967,2154586,7916829,19506865,7208129,12298736,20538841,(D),653841,(D),8411542,1091710,7319832,5682073,912163,4769910,3146843,15650696,856604,21166865,2942601,22973192,23507431,89312458,107664294,74570843,11115360,1018123,178936,9918301,21978091,2062211,52208,36161,5390,494,87,4810,10658,82685268,58629127,11550129,7676153,3873976,12506012,-29528,12535540,1382466,1017789,364677,7958,356719,59810,57604,35141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2016
Boise,30156243,26507920,446718,61150,(D),2289130,3743506,(D),(D),2161638,2445973,734052,(D),5265877,1629859,3636018,(D),1722725,(D),(D),3298846,(D),(D),(D),(D),(D),594419,3648324,507868,4607612,(D),(D),6540504,19967416,29320468,18377162,4797010,413396,48235,4335379,6146296,691605,42395,26572,6936,598,70,6269,8887,20526887,13942707,3364756,2172399,1192357,3219424,164072,3055352,411050,313707,97343,4697,92646,49938,44445,32979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2016
Boston,421233829,383590472,(D),171838,4984940,13223865,38506783,26060271,12446512,21866356,15145291,(D),27218124,99161189,43703821,55457368,79461995,58308162,9324432,11829401,51414494,13707103,37707391,17511061,6020287,11490775,7415008,37643356,(D),37011647,(D),65724907,(D),(D),344041629,229048818,41932639,3588714,835925,37508000,73060172,4811098,71510,47608,8716,746,174,7796,15186,272732379,200517617,40091928,27067096,13024832,32122834,-4328,32127162,3557076,2782424,774652,2580,772072,76673,72066,41612,1,2300000,398000,81,93,47,0,1,2955434,36486.83951,218682750,1,3400000,523000,0,0,1,2200000,200000,0,1,0,0,1,1,1,0.875,14,534632,66829,2016
Charlotte,154070315,140744560,(D),188635,3111338,6652077,19464803,8850277,10614527,(D),7769905,5484925,(D),38198837,23278823,14920014,22902197,11115205,(D),(D),8243086,(D),(D),(D),(D),(D),2877972,13325755,(D),(D),8596263,(D),(D),(D),119399241,82366147,17982057,1913484,84082,15984491,19051037,2499660,47766,32951,7194,765,34,6395,7621,93591884,68300644,13779921,8820330,4959591,11511319,250181,11261138,1541895,1220027,321868,6319,315549,60699,55983,35687,0,0,0,0,0,0,0,0,0,0,0,1,2075000,362000,0,0,1,780000,158000,0,0,1,0,0,0,0,0.375,6,590343,73792.875,2016
Chicago,641729689,585469604,439858,305560,6280498,23187589,74220440,35561858,38658582,(D),31007866,26179755,(D),145544221,65632886,79911336,97301759,(D),(D),(D),56196477,11779109,44417367,28655829,(D),(D),(D),56260085,745419,(D),32460253,(D),98153448,487316156,535068699,355528218,72198431,8194197,1280382,62723852,107342050,9540144,56086,37267,7568,859,134,6575,11252,401000993,292881162,64895770,45039889,19855881,43224061,96814,43127247,6039101,4788095,1251006,5401,1245605,66401,61169,34624,2,3250000,580000,162,182,102,1,1,4978713,30732.7963,289513333,1,2700000,385000,0,0,1,2500000,232000,1,0,0,0,0,0,0,0.1875,3,482951,60368.875,2016
Cleveland,125178388,112404136,(D),152239,1182952,3937754,17669090,11851328,5817761,9065323,6409717,(D),3724751,29611220,14759488,14851732,15817063,8202260,3641710,3973093,14229962,1812402,12417560,4707161,1723167,2983994,2639093,12774251,(D),15475041,(D),21393841,(D),(D),102212830,63933114,19307519,1792969,185760,17328790,18972197,2061527,49581,31013,9366,870,90,8406,9203,76164521,55853148,12939344,8900214,4039130,7372029,35835,7336194,1323846,1070543,253303,2696,250607,57533,52173,29274,1,800000,220000,81,94,53,0,1,1591667,19650.20988,94511067,1,1850000,347000,0,0,1,1200000,233000,0,0,1,0,0,0,0,0.0625,1,514489,64311.125,2016
DC,500084059,385855148,(D),(D),6751418,(D),(D),5210638,(D),14649210,(D),(D),(D),93540752,(D),(D),(D),(D),(D),15206328,34210435,8540755,25669680,18005349,(D),(D),19370582,114228911,(D),(D),(D),(D),30009391,355845756,417079837,296528849,38550945,3405176,383048,34762721,82000043,6152111,67795,48200,6266,553,62,5651,13329,341565537,246153948,56962273,39310095,17652178,38449316,-82461,38531777,4287402,3348860,938542,8132,930410,79667,73504,41414,1,1300000,293000,81,95,50,0,1,2481938,30641.20988,152967400,1,2950000,447000,0,0,1,960000,146000,1,0,0,0,0,0,0,0.5,8,626432,78304,2016
Denver,190747613,171327362,(D),2142448,(D),10405146,12775907,7606972,5168935,(D),(D),8955439,(D),40169512,13678019,26491492,31572667,20333670,4817190,6421807,14224604,2099069,12125535,9201492,3404383,5797109,4299767,19420251,(D),23663259,(D),(D),(D),(D),161742657,109279937,18544036,1452548,259649,16831839,33918684,2857549,56602,38243,6489,508,91,5890,11870,124422843,92035591,17692531,11150677,6541854,14694721,-3725,14698446,1981797,1501083,480714,4560,476154,62783,61313,30869,1,860000,227000,81,75,42,0,0,2602524,32129.92593,89707000,1,2400000,387000,0,0,1,890000,157000,0,1,0,0,0,0,0,0.5625,9,614193,76774.125,2016
Green Bay,19473194,17692901,730344,29930,(D),728800,3047864,1070978,1976886,1267514,906796,678469,259181,4986257,3140786,1845471,1884845,(D),644653,(D),(D),(D),(D),810865,389213,421652,338379,1780294,760274,2174310,(D),3307045,4536938,13155963,15086099,10045416,2255647,162666,25673,2067308,2785036,317394,47531,31650,7107,513,81,6513,8775,11913486,8547282,2170211,1530152,640059,1195993,160437,1035556,215828,181133,34695,2462,32233,55199,47188,32127,0,0,0,0,0,0,0,0,0,0,0,1,2350000,391000,0,0,0,0,0,0,0,1,0,0,1,1,0.625,10,625727,78215.875,2016
Houston,430444675,393593731,194465,21530414,(D),29314705,64700289,23827032,40873258,(D),22516600,(D),8533838,62564191,21239077,41325113,(D),(D),6711577,(D),27760984,4275797,23485187,14995622,3366654,11628968,8977796,36850944,21724880,(D),(D),73234128,115739874,277853857,345184434,250015435,42317774,5018005,854122,36445647,52851225,6812260,50671,36701,6212,737,125,5350,7758,281310756,196268718,37844975,24995888,12849087,47197063,-23905,47220968,4043276,3076379,966897,13533,953364,69575,63799,49531,1,1100000,270000,81,84,43,0,0,2306623,28476.82716,89498000,1,2600000,416000,0,0,1,1650000,244000,0,1,0,0,0,1,1,0.5625,9,574974,71871.75,2016
LA,945600303,856252827,350651,1359129,5647381,29477047,85123699,53999243,31124455,63172910,48973614,26689143,104262109,233920553,55669864,178250689,115289623,73600506,12071520,29617598,71851785,12521329,59330456,51074397,22529015,28545382,19060787,89347476,1709780,112146523,32336523,189385808,116310526,739942301,778181031,486950123,118684301,12885151,1494207,104304943,172546607,13291247,58548,36637,8930,969,112,7848,12982,565962731,385946143,89035763,62471011,26564752,90980825,90383,90890442,8563780,6343177,2220603,1148,2219455,66088,60844,40952,2,3840000,750000,162,165,93,0,1,6719454,41478.11111,371054096,1,2900000,317000,0,0,2,5000000,518000,1,0,0,0,0,0,0,0.25,4,665318,83164.75,2016
Louisville,67272937,60848254,(D),82500,(D),2772121,(D),(D),4718212,(D),3784349,(D),(D),13357160,(D),(D),7113198,3686902,1182698,2243598,(D),(D),6077824,2994294,566758,2427536,(D),6424683,(D),(D),(D),12288605,(D),(D),58203307,37144394,10805164,929100,88970,9787094,10253749,1252866,46456,29648,8624,742,71,7812,8184,43346208,32353638,7211530,4761842,2449688,3781040,13795,3767245,805176,663511,141665,5896,135769,53834,48761,27747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2016
Milwaukee,96701876,88291919,111391,148285,1551730,3307725,16080492,11559027,4521464,7024913,4905971,2346347,3111748,19958702,7855755,12102948,12661532,6114092,3664687,2882752,11951063,2326740,9624323,2994859,832690,2162169,2137160,8409956,259676,11930883,3898078,19192240,19647893,68644026,82645618,52619292,13443835,1623649,137953,11682233,16582491,1576331,52429,33381,8529,1030,88,7411,10520,62344319,45885786,11062852,7613585,3449267,5395681,21800,5373881,1044628,881298,163330,1449,161881,59681,52066,33196,1,875000,234000,81,73,41,0,0,2314614,28575.48148,52077500,0,0,0,0,0,1,785000,146000,0,0,1,0,0,0,0,0,0,0,0,2016
Minneapolis,241852152,219409307,512445,457129,(D),9137352,32873324,22782621,10090703,18418783,12536352,7737732,9810026,50401751,25994944,24406807,(D),(D),(D),7017311,21655816,2677515,18978301,8644256,2718483,5925774,5100527,22442845,969574,30955134,(D),42683350,42980250,176429057,206533453,138574692,26795971,2512228,450279,23833464,41162790,3539875,58345,39147,7570,710,127,6733,11628,158095326,118153958,25418065,16851989,8566076,14523303,70225,14453078,2461089,2002795,458294,10017,448277,64238,58995,32241,1,910000,240000,81,59,30,0,0,1963912,24245.82716,93333700,1,2200000,306000,0,0,1,770000,154000,0,1,0,0,0,0,0,0.5,8,534289,66786.125,2016
Nashville,119995554,110579651,(D),208791,261971,(D),12918982,(D),(D),8759703,7420779,4085698,4956305,19915316,8654429,11260886,16813237,9313704,2692201,4807332,19049008,1963208,17085800,8313907,4102069,4211838,2797939,9415903,(D),16180482,4347670,17875287,18205788,92373863,98935006,72781002,12845182,1225407,56667,11563108,13308822,1842213,53704,39507,6973,665,31,6277,7224,82273692,50600283,10469643,7062052,3407591,21203766,-29340,21233106,1272883,964387,308496,11891,296605,64636,52469,71587,0,0,0,0,0,0,0,0,0,0,0,1,2000000,342000,0,0,0,0,0,0,0,1,0,0,0,0,0.5625,9,517273,64659.125,2016
NYC,1634181435,1492283131,809784,447275,15765939,(D),(D),(D),(D),(D),71842821,42519912,135316901,535241604,293961671,241279933,(D),159664821,(D),45255147,141096395,29040253,112056142,66240842,25445737,40795106,31496870,141898304,1257059,(D),58285851,(D),121822049,1370461082,1325423010,849946425,194756529,21136252,2799855,170820422,280720056,19345820,68512,43934,10067,1093,145,8830,14511,980382824,692380204,144933090,97077912,47855178,143069530,79429,142990101,12418198,9398473,3019725,4779,3014946,78947,73669,47427,2,5050000,829000,162,171,92,0,0,5853007,36129.67284,348450632,2,5850000,867000,0,0,2,5000000,596000,1,0,0,0,0,0,1,0.5,16,1255595,78474.6875,2016
Providence,82362330,71799220,399817,46668,1143226,(D),(D),6081539,(D),(D),4879081,(D),2160118,18711008,6343990,12367018,9404382,4328980,2775467,2299935,10629348,2108035,8521313,3741638,873557,2868081,1821783,10563110,446485,(D),(D),(D),12340410,59458810,81136939,50653268,16966477,1736667,295416,14934394,13517194,1614911,50242,31366,10506,1075,183,9248,8370,51783446,37332534,9053591,6115165,2938426,5397321,-666,5397987,929310,738149,191161,1578,189583,55722,50576,28473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2016
San Fran,469472007,427098713,(D),307492,4201792,17637404,42966114,17608122,25357992,20415688,21692792,(D),47414821,104299863,35882051,68417811,93650426,69413764,11085989,13150673,31131661,4997623,26134037,19912955,6328468,13584487,8244828,42373294,(D),42108480,(D),90380935,(D),(D),407259926,270597919,37578617,2849095,521925,34207597,99083390,4689132,86852,57707,8014,608,111,7295,21130,298786013,213586665,41552123,28677661,12874462,43647225,159719,43487506,3278422,2485755,792667,1275,791392,91137,85924,54951,1,2250000,409000,81,87,45,0,0,3365256,41546.37037,177021333,1,3000000,446000,0,0,1,2600000,305000,1,0,0,0,0,0,0,0.125,2,561424,70178,2016
Seattle,337800412,303776139,780306,123752,395685,13275111,45762019,40541228,5220790,21116683,26971183,10558066,51857143,55109367,13691390,41417977,38099878,24784146,4633179,8682552,21445064,2029474,19415591,12125827,2831123,9294705,6156056,34024273,904058,48087865,10953751,97619162,59941187,243834952,253114158,164839451,27646880,2700295,559487,24387098,60627827,3814369,66358,43215,7248,708,147,6393,15895,190978667,140960915,29344242,17932206,11412036,20673510,114957,20558553,2527421,2048847,478574,4140,474434,75563,68800,43333,1,1200000,271000,81,86,44,0,0,2267928,27999.11111,137169100,1,2225000,377000,0,0,0,0,0,0,1,0,0,0,1,1,0.625,10,552588,69073.5,2016
Tampa Bay,144247543,129731042,217477,63829,2256652,6079127,10825037,5965052,4859986,9845106,10844112,3174586,6092256,34378261,11336464,23041797,20704050,12332511,3094469,5277069,14886092,1460595,13425497,7009230,1883080,5126150,3355226,14516501,281306,20689218,5431238,16917293,17185471,112545571,132786638,78650690,28396919,2346122,75747,25975050,25739029,3034215,43763,25921,9359,773,25,8561,8483,88281612,67596019,13958124,9326962,4631162,6727469,33745,6693724,1709420,1336444,372976,3538,369438,51644,50579,18119,1,650000,193000,81,68,36,0,0,1286163,15878.55556,48223791,1,1800000,341000,0,0,0,0,0,0,1,0,0,0,0,0,0.5625,9,484998,60624.75,2016
Tucson,40131147,32313651,78550,530260,298463,1414916,4438829,4186959,251869,1264328,2676262,899819,1195092,8678634,1727100,6951534,3814364,2186531,173611,1454222,4339904,332448,4007455,1756249,228035,1528214,927982,7817495,608810,3940590,1198283,5633921,6462555,25851097,40607735,21737581,9718261,771128,45443,8901690,9151893,1017624,39904,21361,9550,758,45,8748,8993,24504214,17515007,4430547,3143532,1287015,2558660,37020,2521640,507505,391980,115525,738,114787,48284,44683,21968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2016
Vegas,108746897,97214034,9714,47812,1684662,4446347,3339993,2285873,1054120,4262055,8026890,5237254,3660675,22237740,4912796,17324944,11865938,5009106,3048594,3808238,7121431,574501,6546930,23256519,4210501,19046019,2017003,11532863,57526,12288945,6921916,7000668,7843866,89370168,93269102,56051436,15691645,1689875,257750,13744020,21526021,2140547,43573,26186,7331,789,120,6421,10056,63748435,47276438,11393824,7874708,3519116,5078173,-2597,5080770,1263139,975496,287643,182,287461,50468,48464,17675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2016
Virginia Beach,94442070,67070943,(D),17697,276086,(D),9560876,5047409,4513467,3078967,6042935,(D),1987816,17349539,(D),(D),(D),5757771,(D),(D),7648781,1040268,6608512,3403144,584307,2818837,1841418,27371127,(D),9121902,(D),11548692,13062474,54008468,82659743,50557639,14161196,1333764,101112,12726320,17940908,1759026,46992,28742,8051,758,57,7235,10199,57223016,42239595,11791042,8479965,3311077,3192379,-55197,3247576,1053625,871893,181732,1534,180198,54311,48446,18022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2016
Atlanta,380224121,348791428,(D),374658,(D),16539577,30308847,13998700,16310147,34533260,19146130,19879406,43482061,77730347,33756805,43973542,55608922,32291907,8291305,15025710,(D),(D),22180084,11911893,2354739,9557155,6571375,31432693,(D),53679390,(D),73790908,(D),(D),295294501,205269214,37639766,4459491,206165,32974110,52385521,5874249,50269,34944,6408,759,35,5613,8918,229844043,167770870,33994602,22839247,11155355,28078571,266421,27812150,3774198,2787503,986695,6488,980207,60899,60187,28374,1,1500000,275000,81,72,37,0,0,2505252,30929.03704,119705250,1,2475000,367000,0,0,1,1150000,209000,1,0,0,0,0,0,1,0.625,10,575681,71960.125,2017
Austin,136546287,120327925,48388,887184,700790,8390348,16059324,14248009,1811315,14723762,7649287,2442730,8668981,20461484,7175848,13285636,22100862,(D),(D),4846640,8830763,1119069,7711694,6048857,975561,5073297,3315165,16218363,935571,22373049,3143521,24728306,25385244,94942681,117458116,83236250,11540800,1040943,161272,10338585,22681066,2115230,55530,39351,5456,492,76,4888,10723,92198704,63170738,12440873,8229386,4211487,16587093,-31083,16618176,1449768,1050259,399509,7924,391585,63595,60148,42438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2017
Boise,32203115,28331183,378303,42070,252981,2482390,4305170,3331865,973306,(D),2530309,788493,(D),5684919,1732442,3952476,(D),(D),(D),(D),3269366,250598,3018768,(D),(D),(D),636270,3871932,420372,(D),1041475,(D),7207933,21123250,31287639,19593130,5036776,401783,46796,4588197,6657733,710080,44062,27593,7093,566,66,6462,9376,21912285,15146720,3509932,2239819,1270113,3255633,97157,3158476,428223,325264,102959,4699,98260,51170,46567,32144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2017
Boston,439144366,400737445,(D),144450,5559846,(D),(D),26407986,(D),22424538,15666839,(D),28417533,102578120,44667687,57910433,86084618,63615582,9719700,12749336,53152014,14168563,38983451,17959465,5805595,12153870,7603324,38406921,(D),38091377,(D),(D),(D),(D),362272886,242323650,42458617,3596001,867037,37995579,77490619,4844597,74779,50019,8764,742,179,7843,15995,288152110,211244122,42427908,28712746,13715162,34480080,314,34479766,3618955,2822059,796896,2537,794359,79623,74855,43406,1,2700000,434000,81,93,48,0,1,2917678,36020.71605,200550750,1,3700000,575000,0,0,1,2500000,257000,0,1,0,0,0,1,1,0.8125,13,527024,65878,2017
Charlotte,162103348,148176993,(D),227691,3401594,6814978,19903458,9245650,10657809,(D),7939689,(D),(D),40411769,24431789,15979980,24553010,11905364,(D),(D),8599109,(D),(D),7404377,(D),(D),3000318,13926355,(D),(D),(D),(D),(D),(D),127596524,88009731,18735165,1845373,80323,16809469,20851628,2549741,50043,34517,7348,724,32,6593,8178,99850619,72371007,14288570,9179472,5109098,13191042,350233,12840809,1593809,1255270,338539,6242,332297,62649,57654,38643,0,0,0,0,0,0,0,0,0,0,0,1,2300000,385000,0,0,1,1050000,202000,0,0,1,0,0,0,1,0.6875,11,588942,73617.75,2017
Chicago,659855041,602321161,404778,361903,6556325,24176243,76762105,36163248,40598856,(D),31812430,27381507,(D),148145190,67048645,81096545,101477778,62992479,13651890,24833409,(D),(D),(D),29754465,(D),(D),(D),57533879,766682,(D),33937832,(D),101705030,500616131,552339301,365541493,74448450,8000399,1303660,65144391,112349358,9520784,58014,38394,7820,840,137,6842,11800,412582857,303765222,66967854,46515713,20452141,41849781,11696,41838085,6090516,4826766,1263750,5339,1258411,67742,62933,33247,2,4025000,703000,162,159,86,0,1,4829032,29808.83951,275052667,1,2850000,416000,0,0,1,2600000,281000,1,0,0,0,0,0,0,0.4375,7,488137,61017.125,2017
Cleveland,128662366,115716294,(D),159289,1115347,4083772,18034138,12092470,5941668,9365947,6600036,(D),3775606,30254078,14822860,15431218,17062015,8558223,4277851,4225941,14267463,1750615,12516848,4965247,1849900,3115347,2655245,12946072,(D),15965983,(D),21809743,(D),(D),105828387,66319716,19775746,1756588,185917,17833241,19732925,2058549,51409,32217,9607,853,90,8663,9586,79165306,57893644,13375765,9112231,4263534,7895897,42223,7853674,1332930,1073263,259667,2691,256976,59392,53942,30562,1,920000,271000,81,102,49,0,1,2048138,25285.65432,114427167,1,1950000,365000,0,0,1,1325000,280000,0,0,1,0,0,0,0,0,0,511060,63882.5,2017
